year,linea_propuesta,title,source,url,http_status,already_in_canonical
2026,"Inducción y control de personalidad","Structured Personality Control and Adaptation for LLM Agents",arXiv,https://arxiv.org/abs/2601.10025,200,no
2026,"Evaluación y validación psicométrica","PTCBENCH: Benchmarking Contextual Stability of Personality Traits in LLM Systems",arXiv,https://arxiv.org/abs/2602.00016,200,no
2026,"Aplicaciones, sesgos y consecuencias sociales","The Personality Trap: How LLMs Embed Bias When Generating Human-Like Personas",arXiv,https://arxiv.org/abs/2602.03334,200,no
2026,"Aplicaciones, sesgos y consecuencias sociales","Multi-Persona Thinking for Bias Mitigation in Large Language Models",arXiv,https://arxiv.org/abs/2601.15488,200,no
2026,"Aplicaciones, sesgos y consecuencias sociales","Political Alignment in Large Language Models: A Multidimensional Audit of Psychometric Identity and Behavioral Bias",arXiv,https://arxiv.org/abs/2601.06194,200,no
2026,"Evaluación y validación psicométrica","Personality Expression Across Contexts: Linguistic and Behavioral Variation in LLM Agents",arXiv,https://arxiv.org/abs/2602.01063,200,no
2026,"Evaluación y validación psicométrica","Beyond Fixed Psychological Personas: State Beats Trait, but Language Models are State-Blind",arXiv,https://arxiv.org/abs/2601.15395,200,no
2026,"Inducción y control de personalidad","Effects of personality steering on cooperative behavior in Large Language Model agents",arXiv,https://arxiv.org/abs/2601.05302,200,no
2026,"Inducción y control de personalidad","Persona Prompting as a Lens on LLM Social Reasoning",arXiv,https://arxiv.org/abs/2601.20757,200,no
2026,"Evaluación y validación psicométrica","Large Language Models as Simulative Agents for Neurodivergent Adult Psychometric Profiles",arXiv,https://arxiv.org/abs/2601.15319,200,no
2026,"Aplicaciones, sesgos y consecuencias sociales","Culturally Grounded Personas in Large Language Models: Characterization and Alignment with Socio-Psychological Value Frameworks",arXiv,https://arxiv.org/abs/2601.22396,200,no
2026,"Aplicaciones, sesgos y consecuencias sociales","When LLMs Imagine People: A Human-Centered Persona Brainstorm Audit for Bias and Fairness in Creative Applications",arXiv,https://arxiv.org/abs/2602.00044,200,no
2026,"Aplicaciones, sesgos y consecuencias sociales","When Personas Override Payoffs: Role Identity Bias in Multi-Agent LLM Decision-Making",arXiv,https://arxiv.org/abs/2601.10102,200,no
2026,"Inducción y control de personalidad","PATS: Personality-Aware Teaching Strategies with Large Language Model Tutors",arXiv,https://arxiv.org/abs/2601.08402,200,no
2026,"Aplicaciones, sesgos y consecuencias sociales","Personality as Relational Infrastructure: User Perceptions of Personality-Trait-Infused LLM Messaging",arXiv,https://arxiv.org/abs/2602.06596,200,no
2026,"Evaluación y validación psicométrica","Stable Personas: Dual-Assessment of Temporal Stability in LLM-Based Human Simulation",arXiv,https://arxiv.org/abs/2601.22812,200,no
2026,"Aplicaciones, sesgos y consecuencias sociales","The Persona Paradox: Medical Personas as Behavioral Priors in Clinical Language Models",arXiv,https://arxiv.org/abs/2601.05376,200,no
2026,"Evaluación y validación psicométrica","From Classification to Ranking: Enhancing LLM Reasoning Capabilities for MBTI Personality Detection",arXiv,https://arxiv.org/abs/2601.18582,200,no
2025,"Evaluación y validación psicométrica","AIPsychoBench: Understanding the Psychometric Differences between LLMs and Humans",arXiv,https://arxiv.org/abs/2509.16530,200,no
2025,"Evaluación y validación psicométrica","Adaptive Testing for LLM Evaluation: A Psychometric Alternative to Static Benchmarks",arXiv,https://arxiv.org/abs/2511.04689,200,no
2025,"Evaluación y validación psicométrica","Can LLMs Infer Personality from Real World Conversations?",arXiv,https://arxiv.org/abs/2507.14355,200,no
2025,"Inducción y control de personalidad","Activation-Space Personality Steering: Hybrid Layer Selection for Stable Trait Control in LLMs",arXiv,https://arxiv.org/abs/2511.03738,200,no
2025,"Evaluación y validación psicométrica","Ask, Answer, and Detect: Role-Playing LLMs for Personality Detection with Question-Conditioned Mixture-of-Experts",arXiv,https://arxiv.org/abs/2512.08814,200,no
2025,"Evaluación y validación psicométrica","A Comparative Study of Large Language Models and Human Personality Traits",arXiv,https://arxiv.org/abs/2505.14845,200,no
